epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.158,0.93475,2.43062,1.38752,0.66522,0.62123,0.69522,0.51645,0.82798,1.32502,1.4599,0.000256054,0.000256054,0.000256054
2,319.027,0.90402,1.61948,1.33476,0.74259,0.66622,0.74535,0.58553,0.72824,1.07334,1.33863,0.000492097,0.000492097,0.000492097
3,471.531,0.88579,1.37575,1.32637,0.83454,0.73978,0.85464,0.67374,0.68783,0.83215,1.28999,0.000707838,0.000707838,0.000707838
4,621.608,0.87208,1.26618,1.30939,0.81414,0.76538,0.84863,0.67506,0.6677,0.81645,1.24381,0.000677643,0.000677643,0.000677643
5,772.722,0.85064,1.17009,1.29212,0.84003,0.77606,0.88272,0.72731,0.61103,0.69563,1.19031,0.00064719,0.00064719,0.00064719
6,924.087,0.8194,1.07339,1.27379,0.87067,0.75964,0.87781,0.7321,0.56464,0.64528,1.14472,0.000616738,0.000616738,0.000616738
7,1075.15,0.80059,1.02677,1.25387,0.89446,0.8031,0.90734,0.76287,0.56232,0.57137,1.13146,0.000586286,0.000586286,0.000586286
8,1225.42,0.78558,0.98198,1.24483,0.88208,0.82758,0.90847,0.75653,0.57682,0.5629,1.1383,0.000555833,0.000555833,0.000555833
9,1376.46,0.75328,0.93573,1.23084,0.9081,0.80068,0.92459,0.79397,0.52284,0.52064,1.0919,0.000525381,0.000525381,0.000525381
10,1527.4,0.74943,0.89736,1.22356,0.88108,0.85815,0.92639,0.79221,0.53448,0.50211,1.10372,0.000494928,0.000494928,0.000494928
11,1678.43,0.74407,0.88234,1.21643,0.89153,0.82772,0.9204,0.78864,0.5139,0.52136,1.07751,0.000464476,0.000464476,0.000464476
12,1829.66,0.74283,0.86042,1.21072,0.89339,0.85395,0.93291,0.80258,0.50796,0.48946,1.07243,0.000434024,0.000434024,0.000434024
13,1980.82,0.72502,0.82101,1.20176,0.9102,0.84642,0.93812,0.81818,0.49251,0.45055,1.05606,0.000403571,0.000403571,0.000403571
14,2131.11,0.7107,0.79826,1.19392,0.90083,0.84859,0.93485,0.81312,0.49602,0.4637,1.05862,0.000373119,0.000373119,0.000373119
15,2281.46,0.71227,0.77609,1.19324,0.9114,0.86171,0.94536,0.82767,0.47714,0.4368,1.04158,0.000342666,0.000342666,0.000342666
16,2427.31,0.54329,0.60445,1.10051,0.91664,0.85643,0.94336,0.83734,0.45099,0.41449,1.01358,0.000312214,0.000312214,0.000312214
17,2571.79,0.52404,0.5675,1.08426,0.92208,0.85284,0.94499,0.8382,0.4352,0.39758,0.99676,0.000281762,0.000281762,0.000281762
18,2715.42,0.51565,0.54367,1.06802,0.92253,0.86316,0.94352,0.84496,0.43075,0.38775,0.99249,0.000251309,0.000251309,0.000251309
19,2859.9,0.49976,0.5072,1.05442,0.92157,0.86558,0.94881,0.84832,0.42075,0.37354,0.97958,0.000220857,0.000220857,0.000220857
20,3003.41,0.49533,0.49772,1.04666,0.92331,0.86952,0.95096,0.85089,0.42116,0.36644,0.98101,0.000190404,0.000190404,0.000190404
21,3147.48,0.48477,0.47743,1.0365,0.92645,0.87119,0.95113,0.85634,0.41186,0.35863,0.97312,0.000159952,0.000159952,0.000159952
22,3292,0.47033,0.45314,1.03263,0.93116,0.87026,0.95321,0.85785,0.4117,0.35286,0.97275,0.0001295,0.0001295,0.0001295
23,3435.86,0.45801,0.42916,1.01955,0.92484,0.87939,0.95274,0.86083,0.40647,0.34866,0.9659,9.90472e-05,9.90472e-05,9.90472e-05
24,3581.34,0.45572,0.42677,1.01507,0.92952,0.87534,0.95399,0.86178,0.40187,0.34654,0.96232,6.85948e-05,6.85948e-05,6.85948e-05
25,3725.26,0.45049,0.41196,1.01139,0.92363,0.88471,0.95399,0.86256,0.40079,0.33959,0.9621,3.81424e-05,3.81424e-05,3.81424e-05
